,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
0,100005.0,45519000,12503000,0,4663000,0,0,0,388000,22798000,14900000,10992000
1,100006.0,55501000,13248000,0,6536000,0,0,0,96000,29650000,17898000,12245000
2,100007.0,163058000,86878000,0,66946000,0,0,0,4000,84171000,56693000,45336000
3,100008.0,103675000,44505000,0,18041000,0,0,0,6000,49609000,32902000,23499000
4,100009.0,0,0,0,0,0,0,0,0,0,0,0
5,100011.0,20502000,8724000,0,4005000,0,0,0,1000,9271000,6311000,4594000
6,100012.0,22055000,6799000,0,2594000,0,0,0,1000,11551000,7172000,5226000
7,100013.0,48482000,25121000,0,13303000,0,0,0,1000,22960000,15015000,11219000
8,100015.0,0,0,0,0,0,0,0,0,0,0,0
9,100016.0,0,0,0,0,0,0,0,0,0,0,0
10,100018.0,0,0,0,0,0,0,0,0,0,0,0
11,100019.0,0,0,0,0,0,0,0,0,0,0,0
12,100020.0,0,0,0,0,0,0,0,0,0,0,0
13,100021.0,0,0,0,0,0,0,0,0,0,0,0
14,100022.0,0,0,0,0,0,0,0,0,0,0,0
15,100023.0,0,0,0,0,0,0,0,0,0,0,0
16,100024.0,0,0,0,0,0,0,0,0,0,0,0
17,100026.0,0,0,0,0,0,0,0,0,0,0,0
18,100028.0,0,0,0,0,0,0,0,0,0,0,0
19,100029.0,0,0,0,0,0,0,0,0,0,0,0
20,100030.0,29818000,9916000,0,2667000,0,0,0,5000,15391000,11118000,8081000
21,100032.0,0,0,0,0,0,0,0,0,0,0,0
22,100033.0,0,0,0,0,0,0,0,0,0,0,0
23,100035.0,0,0,0,0,0,0,0,0,0,0,0
24,100036.0,0,0,0,0,0,0,0,0,0,0,0
25,100037.0,0,0,0,0,0,0,0,0,0,0,0
26,100038.0,0,0,0,0,0,0,0,0,0,0,0
27,100039.0,0,0,0,0,0,0,0,0,0,0,0
28,100040.0,0,0,0,0,0,0,0,0,0,0,0
29,100041.0,0,0,0,0,0,0,0,0,0,0,0
30,100042.0,0,0,0,0,0,0,0,0,0,0,0
31,100043.0,0,0,0,0,0,0,0,0,0,0,0
32,100044.0,0,0,0,0,0,0,0,0,0,0,0
33,100045.0,0,0,0,0,0,0,0,0,0,0,0
34,100046.0,0,0,0,0,0,0,0,0,0,0,0
35,100060.0,15797000,4256000,0,746000,0,0,0,3000,8052000,5681000,4127000
36,100090.0,23569000,7241000,0,4485000,0,0,0,9000,12102000,8082000,5701000
37,100100.0,23338000,6786000,0,1218000,0,0,0,2000,13648000,9903000,6814000
38,100120.0,38308000,17505000,0,2345000,0,0,0,4000,19030000,12852000,9430000
39,100173.0,0,0,0,0,0,0,0,0,0,0,0
40,100174.0,0,0,0,0,0,0,0,0,0,0,0
41,100175.0,0,0,0,0,0,0,0,0,0,0,0
42,100176.0,0,0,0,0,0,0,0,0,0,0,0
43,100178.0,0,0,0,0,0,0,0,0,0,0,0
44,100179.0,0,0,0,0,0,0,0,0,0,0,0
45,100180.0,15554000,2987000,0,1051000,0,0,0,3000,8698000,5779000,3985000
46,100181.0,0,0,0,0,0,0,0,0,0,0,0
47,100183.0,0,0,0,0,0,0,0,0,0,0,0
48,100184.0,0,0,0,0,0,0,0,0,0,0,0
49,100185.0,27213000,10641000,0,4420000,0,0,0,4000,11745000,7994000,6017000
50,100186.0,0,0,0,0,0,0,0,0,0,0,0
51,100187.0,0,0,0,0,0,0,0,0,0,0,0
52,100188.0,8561000,1919000,0,1412000,0,0,0,2000,4275000,2797000,1776000
53,100189.0,12502000,4023000,0,2394000,0,0,0,1000,5701000,3835000,2877000
54,100190.0,65210000,27791000,0,0,0,0,0,0,31543000,21101000,14967000
55,100191.0,0,0,0,0,0,0,0,0,0,0,0
56,100192.0,0,0,0,0,0,0,0,0,0,0,0
57,100193.0,0,0,0,0,0,0,0,0,0,0,0
58,100194.0,35707000,18336000,0,0,0,0,0,0,15751000,10568000,8082000
59,100195.0,2674000,2636000,0,0,0,0,0,0,663000,306000,267000
60,100210.0,93437000,49507000,0,17413000,0,0,0,14000,41103000,27171000,21268000
61,100240.0,79665000,18847000,0,6614000,0,0,0,20000,42440000,28822000,22215000
62,100270.0,330317000,163433000,0,45464000,0,0,0,342000,153812000,101788000,69304000
63,100300.0,10519000,2369000,0,1301000,0,0,0,6000,5317000,3206000,2349000
64,100330.0,41526000,11774000,0,9267000,0,0,0,4000,21671000,13102000,10192000
