STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1617,ALL_RATE_1617,MAM_COHORT_1617,MAM_RATE_1617,MAS_COHORT_1617,MAS_RATE_1617,MBL_COHORT_1617,MBL_RATE_1617,MHI_COHORT_1617,MHI_RATE_1617,MTR_COHORT_1617,MTR_RATE_1617,MWH_COHORT_1617,MWH_RATE_1617,CWD_COHORT_1617,CWD_RATE_1617,ECD_COHORT_1617,ECD_RATE_1617,LEP_COHORT_1617,LEP_RATE_1617,DATE_CUR
ALABAMA,01,0100005,AL-101,Albertville City,010000500871,AL-101-0020,Albertville High Sch,311,93,.,.,2,PS,12,GE50,97,90-94,1,PS,199,90-94,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100006,AL-048,Marshall County,010000600872,AL-048-0030,Asbury Sch,75,90-94,.,.,.,.,1,PS,25,GE80,.,.,48,GE90,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100006,AL-048,Marshall County,010000600878,AL-048-0100,Douglas High Sch,140,85-89,.,.,1,PS,3,PS,32,GE90,.,.,104,85-89,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100006,AL-048,Marshall County,010000600883,AL-048-0140,Kate D Smith DAR High Sch,121,90-94,.,.,.,.,2,PS,1,PS,1,PS,117,90-94,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100006,AL-048,Marshall County,010000601585,AL-048-0042,Brindlee Mt High Sch,95,85-89,.,.,.,.,2,PS,5,PS,1,PS,87,85-89,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100007,AL-158,Hoover City,010000700251,AL-158-0400,Hoover High Sch,743,92,.,.,39,GE90,200,90-94,52,70-79,29,GE80,422,94,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100007,AL-158,Hoover City,010000701456,AL-158-0010,Spain Park High Sch,410,94,.,.,21,GE80,101,85-89,16,GE80,11,GE50,260,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100008,AL-169,Madison City,010000800831,AL-169-0080,Bob Jones High Sch,437,GE99,.,.,31,GE90,89,GE95,18,GE80,12,GE50,282,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100008,AL-169,Madison City,010000802198,AL-169-0095,James Clemens High School,424,96,.,.,29,GE80,102,GE95,20,GE80,9,GE50,262,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100011,AL-167,Leeds City,010001102096,AL-167-0030,Leeds High Sch,110,GE95,.,.,1,PS,32,GE90,15,GE50,7,GE50,55,80-89,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100012,AL-115,Boaz City,010001200874,AL-115-0060,Boaz High Sch,170,85-89,.,.,4,PS,2,PS,29,GE80,5,PS,129,85-89,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100013,AL-205,Trussville City,010001301682,AL-205-0890,Hewitt-Trussville High Sch,341,98,.,.,9,GE50,40,GE90,6,GE50,10,GE50,275,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100030,AL-102,Alexander City,010003000001,AL-102-0010,Alexander City Middle Sch,2,PS,.,.,.,.,2,PS,.,.,.,.,.,.,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100030,AL-102,Alexander City,010003000003,AL-102-0020,Benjamin Russell High Sch,215,90-94,.,.,.,.,74,90-94,9,GE50,.,.,132,90-94,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100060,AL-104,Andalusia City,010006000007,AL-104-0010,Andalusia High Sch,110,GE95,.,.,3,PS,45,GE90,.,.,1,PS,61,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100090,AL-105,Anniston City,010009000011,AL-105-0010,Anniston High Sch,135,80-84,.,.,.,.,129,85-89,1,PS,2,PS,3,PS,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100100,AL-106,Arab City,010010000028,AL-106-0020,Arab High Sch,195,GE95,.,.,3,PS,1,PS,4,PS,.,.,186,GE95,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100120,AL-107,Athens City,010012001472,AL-107-0030,Athens High Sch,232,91,.,.,6,GE50,58,80-89,27,GE80,6,GE50,133,90-94,.,.,.,.,.,.,17AUG18
ALABAMA,01,0100120,AL-107,Athens City,010012002417,AL-107-0025,Athens Renaissance School,181,85-89,.,.,.,.,17,21-39,2,PS,1,PS,160,90-94,.,.,.,.,.,.,17AUG18
