,school_id,grad_rate_all,grad_rate_native,grad_rate_asian,grad_rate_black,grad_rate_hispanic,grad_rate_mixed,grad_rate_linc
0,10000500871.0,93.0,,,,90.0,,
1,10000600872.0,90.0,,,,,,
2,10000600878.0,85.0,,,,,,
3,10000600883.0,90.0,,,,,,
4,10000601585.0,85.0,,,,,,
5,10000700251.0,92.0,,,90.0,70.0,,
6,10000701456.0,94.0,,,85.0,,,
7,10000800831.0,,,,,,,
8,10000802198.0,96.0,,,,,,
9,10001102096.0,,,,,,,
10,10001200874.0,85.0,,,,,,
11,10001301682.0,98.0,,,,,,
12,10003000001.0,,,,,,,
13,10003000003.0,90.0,,,90.0,,,
14,10006000007.0,,,,,,,
15,10009000011.0,80.0,,,85.0,,,
16,10010000028.0,,,,,,,
17,10012001472.0,91.0,,,80.0,,,
18,10012002417.0,85.0,,,21.0,,,
19,10018000033.0,85.0,,,,,,
20,10018502137.0,94.0,,,,,,
21,10018802194.0,80.0,,,80.0,,,
22,10018902195.0,,,,,,,
23,10019001183.0,96.0,,,,,,
24,10019402399.0,92.0,,,,85.0,,
25,10021000036.0,95.0,,,90.0,,,
26,10021000037.0,,,,,,,
27,10024000045.0,80.0,,,,,,
28,10024000046.0,85.0,,,,,,
29,10024000048.0,91.0,,,85.0,,,
30,10024001408.0,,,,,,,
31,10027000024.0,74.0,,,,,,65.0
32,10027000100.0,93.0,,,70.0,,,80.0
33,10027000162.0,,,,,,,
34,10027000641.0,80.0,,,,,,60.0
35,10027001759.0,92.0,,,90.0,,,85.0
36,10027001784.0,83.0,,,75.0,80.0,,70.0
37,10027001810.0,82.0,,,80.0,,,75.0
38,10027002073.0,94.0,,,,,,80.0
39,10030000074.0,80.0,,,80.0,,,
40,10033000087.0,73.0,,,70.0,,,
41,10036000092.0,80.0,,,80.0,,,
42,10036000099.0,85.0,,,,,,
43,10039000141.0,79.0,,,81.0,60.0,,
44,10039000164.0,72.0,,,70.0,,,
45,10039000165.0,68.0,,,65.0,,,
46,10039000176.0,,,,,,,
47,10039000192.0,70.0,,,70.0,,,
48,10039000198.0,74.0,,,75.0,,,
49,10039001468.0,78.0,,,80.0,,,
50,10039001761.0,,,,,,,
51,10042000203.0,,,,,,,
52,10042000206.0,90.0,,,,,,
53,10042000208.0,,,,,,,
54,10042000209.0,85.0,,,,,,
55,10042000210.0,90.0,,,,,,
56,10042000211.0,,,,,,,
57,10042000213.0,90.0,,,,,,
58,10045000216.0,,,,,,,
59,10048000218.0,70.0,,,70.0,,,
60,10051000226.0,75.0,,,80.0,,,
61,10051000229.0,,,,,,,
62,10051002144.0,,,,,,,
63,10054000232.0,85.0,,,,,,
64,10054000240.0,,,,,,,
65,10054000243.0,90.0,,,,,,
66,10054000247.0,90.0,,,,,,
67,10054000250.0,,,,,,,
68,10054001488.0,,,,,,,
69,10054001489.0,90.0,,,,,,
70,10060000263.0,85.0,,,90.0,,,
71,10060000271.0,85.0,,,90.0,,,
72,10063000274.0,,,,,,,
73,10063000278.0,90.0,,,,,,
74,10063000279.0,,,,,,,
75,10063000282.0,,,,,,,
76,10063000283.0,,,,,,,
77,10066000261.0,,,,,,,
78,10066000262.0,85.0,,,,80.0,,
79,10066000265.0,,,,,,,
80,10066000270.0,85.0,,,,,,
81,10066000288.0,,,,,,,
82,10066001491.0,87.0,,,80.0,,,
83,10069000291.0,70.0,,,70.0,,,
84,10069000297.0,70.0,,,70.0,,,
85,10072000298.0,85.0,,,,,,
86,10072001493.0,90.0,,,90.0,,,
87,10075002210.0,90.0,,,,,,
88,10078000318.0,,,,,,,
89,10078000321.0,,,,,,,
90,10081000323.0,,,,,,,
91,10081000327.0,,,,,,,
92,10081001494.0,,,,,,,
93,10084000333.0,80.0,,,,,,
94,10084000334.0,90.0,,,,,,
95,10084000335.0,80.0,,,,,,
96,10087001766.0,80.0,,,85.0,,,
97,10090001749.0,80.0,,,80.0,,,
98,10093000360.0,,,,,,,
99,10093000361.0,,,,,,,
100,10093000362.0,,,,,,,
101,10093000363.0,,,,,,,
102,10096000365.0,80.0,,,,,,
103,10096000367.0,85.0,,,,,,
104,10096000368.0,90.0,,,,,,
105,10099000370.0,93.0,,,,,,
106,10102000374.0,90.0,,,,,,
107,10102000377.0,90.0,,,,,,
108,10102000379.0,90.0,,,,,,
109,10102000380.0,90.0,,,,,,
110,10102000381.0,85.0,,,,,,
111,10102000385.0,90.0,,,,,,
112,10102000387.0,90.0,,,,,,
113,10102001497.0,,,,,,,
114,10105000388.0,,,,,,,
115,10105000389.0,90.0,,,,,,
116,10105000390.0,,,,,,,
117,10108000394.0,80.0,,,,,,
118,10111000397.0,85.0,,,85.0,,,
119,10111000402.0,,,,,,,
120,10111000406.0,90.0,,,90.0,,,
121,10114000411.0,90.0,,,,,,
122,10114000415.0,85.0,,,,,,
123,10114000416.0,90.0,,,,,,
124,10114000419.0,,,,,,,
125,10114000422.0,,,,,,,
126,10114000424.0,90.0,,,,,,
127,10114000425.0,80.0,,,,,,
128,10114001860.0,90.0,,,,90.0,,
129,10117000426.0,89.0,,,90.0,75.0,,
130,10117000429.0,88.0,,,90.0,80.0,,
131,10117002175.0,,,,,,,
132,10120000148.0,85.0,,,85.0,,,
133,10123000445.0,91.0,,,85.0,60.0,,
134,10123001501.0,87.0,,,85.0,,,
135,10126000461.0,,,,,,,
136,10129000463.0,,,,,,,
137,10129000465.0,80.0,,,,,,
138,10129000468.0,83.0,,,80.0,,,
139,10129000471.0,89.0,,,85.0,,,
140,10132000475.0,,,,,,,
141,10132000476.0,92.0,,,85.0,,,
142,10135000484.0,85.0,,,85.0,,,
143,10135000487.0,85.0,,,,,,
144,10135000492.0,80.0,,,80.0,,,
145,10138000496.0,,,,,,,
146,10138000498.0,,,,,,,
147,10138000505.0,85.0,,,,,,
148,10138000506.0,94.0,,,,,,
149,10138000507.0,80.0,,,,,,
150,10138001662.0,,,,,,,
151,10141000511.0,80.0,,,80.0,21.0,,
152,10144000516.0,85.0,,,85.0,,,
153,10147000521.0,80.0,,,,,,
154,10147000525.0,,,,,,,
155,10147001787.0,90.0,,,,,,
156,10153000528.0,98.0,,,,,,
157,10153000531.0,,,,,,,
158,10156000538.0,97.0,,,,,,
159,10159000541.0,80.0,,,,,,
160,10159000544.0,80.0,,,,,,
161,10159000545.0,,,,,,,
162,10159000548.0,,,,,,,
163,10159001869.0,80.0,,,,,,
164,10162001368.0,,,,,,,
165,10162001824.0,91.0,,,90.0,,,
166,10164000567.0,90.0,,,,,,
167,10166000570.0,,,,,,,
168,10166000571.0,,,,,,,
169,10166001519.0,85.0,,,,,,
